"","GAME_ID","League","Day/Night","PlayingSurface","Weather","WindSpeed","WindDirection","Temperature"
"255","2013/04/20/kcamlb-bosmlb-1","AL","D","G","Cloudy",15,"Out To RF",56
"256","2013/04/20/lanmlb-balmlb-2","AL","N","G","Partly Cloudy",11,"L To R",56
"257","2013/04/20/miamlb-cinmlb-1","NL","D","G","Sunny",11,"Varies",49
"258","2013/04/20/minmlb-chamlb-1","AL","D","G","Partly Cloudy",8,"Out To CF",43
"259","2013/04/20/oakmlb-tbamlb-1","AL","N","T","Dome",-1,"",72
"260","2013/04/20/sdnmlb-sfnmlb-1","NL","N","G","Clear",11,"Out To CF",62
"261","2013/04/20/seamlb-texmlb-1","AL","N","G","Clear",16,"In From CF",68
"262","2013/04/20/wasmlb-nynmlb-1","NL","D","G","Cloudy",17,"R To L",54
"263","2013/04/20/nyamlb-tormlb-1","AL","D","T","Roof Closed",0,"None",68
"264","2013/04/20/slnmlb-phimlb-1","NL","N","G","Partly Cloudy",16,"L To R",57
"265","2013/04/21/arimlb-colmlb-1","NL","D","G","Partly Cloudy",4,"R To L",59
"266","2013/04/21/atlmlb-pitmlb-1","NL","D","G","Partly Cloudy",5,"Out To CF",45
"267","2013/04/21/clemlb-houmlb-1","AL","D","G","Cloudy",12,"L To R",73
"268","2013/04/21/detmlb-anamlb-1","AL","D","G","Sunny",9,"Out To CF",74
"269","2013/04/21/kcamlb-bosmlb-1","AL","D","G","Sunny",13,"L To R",48
"270","2013/04/21/lanmlb-balmlb-1","AL","D","G","Partly Cloudy",3,"In From LF",49
"271","2013/04/21/miamlb-cinmlb-1","NL","D","G","Partly Cloudy",10,"In From LF",54
"272","2013/04/21/minmlb-chamlb-1","AL","D","G","Partly Cloudy",11,"R To L",53
"273","2013/04/21/oakmlb-tbamlb-1","AL","D","T","Dome",-1,"",72
"274","2013/04/21/sdnmlb-sfnmlb-1","NL","D","G","Sunny",5,"Out To RF",69
"275","2013/04/21/seamlb-texmlb-1","AL","D","G","Cloudy",8,"In From RF",69
"276","2013/04/21/wasmlb-nynmlb-1","NL","D","G","Sunny",5,"In From LF",49
"277","2013/04/21/nyamlb-tormlb-1","AL","D","T","Roof Closed",0,"None",68
"278","2013/04/21/slnmlb-phimlb-1","NL","N","G","Cloudy",7,"R To L",50
"279","2013/04/21/chnmlb-milmlb-1","NL","D","G","Roof Closed",0,"None",70
"280","2013/04/22/arimlb-sfnmlb-1","NL","N","G","Clear",8,"Out To RF",65
"281","2013/04/23/atlmlb-colmlb-1","NL","D","G","Cloudy",6,"In From CF",23
"282","2013/04/22/chnmlb-cinmlb-1","NL","N","G","Partly Cloudy",2,"In From CF",70
"283","2013/04/22/clemlb-chamlb-1","AL","N","G","Clear",11,"L To R",58
"284","2013/04/23/miamlb-minmlb-2","AL","N","G","Clear",11,"Out To RF",42
"285","2013/04/22/milmlb-sdnmlb-1","NL","N","G","Partly Cloudy",8,"L To R",63
"286","2013/04/22/nyamlb-tbamlb-1","AL","N","T","Dome",-1,"",72
"287","2013/04/22/oakmlb-bosmlb-1","AL","N","G","Partly Cloudy",18,"In From RF",45
"288","2013/04/22/seamlb-houmlb-1","AL","N","G","Clear",13,"Out To LF",76
"289","2013/04/22/slnmlb-wasmlb-1","NL","N","G","Cloudy",9,"R To L",51
"290","2013/04/22/texmlb-anamlb-1","AL","N","G","Partly Cloudy",10,"Out To CF",62
"291","2013/04/22/tormlb-balmlb-1","AL","N","G","Partly Cloudy",8,"In From RF",53
"292","2013/04/22/pitmlb-phimlb-1","NL","N","G","Cloudy",13,"R To L",50
"293","2013/04/23/arimlb-sfnmlb-1","NL","N","G","Clear",8,"Out To CF",63
"294","2013/04/23/atlmlb-colmlb-2","NL","N","G","Partly Cloudy",3,"In From CF",30
"295","2013/04/23/chnmlb-cinmlb-1","NL","N","G","Cloudy",13,"Varies",69
"296","2013/06/28/clemlb-chamlb-2","AL","N","G","Overcast",9,"L To R",70
"297","2013/08/16/kcamlb-detmlb-1","AL","D","G","Sunny",6,"R To L",77
