:@computed_region_s6p5_2pgr,balance,citation,councildistrict,description,expmm,expyy,importdate,location,location_2,location_2_address,location_2_city,location_2_state,location_2_zip,make,neighborhood,noticedate,openfine,openpenalty,penaltydate,policedistrict,state,tag,violcode,violdate,violfine
27935.0,0,60188795,,"Commercial Veh/Residence under 20,000 lbs",11.0,18,2017-04-29T04:02:00.000,3400 PRATT ST,POINT (-76.568705 39.29021),3400 PRATT ST,Baltimore,MD,,FORD,,,252,0,,,MD,3CP6648,10,2017-04-27T20:40:00.000,252
27295.0,0,60329050,,No Stopping/Standing Tow Away Zone,8.0,18,2017-05-11T04:02:00.000,2600 REISTERSTOWN RD,POINT (-76.652653 39.318546),2600 REISTERSTOWN RD,Baltimore,MD,,HONDA,,,52,0,,,MD,7CM9998,8,2017-05-08T16:29:00.000,52
27301.0,0,60333508,,Expired Tags,3.0,17,2017-05-16T04:01:00.000,1300 MCCULLOH ST,POINT (-76.627797 39.302523),1300 MCCULLOH ST,Baltimore,MD,,HONDA,,,32,0,,,MD,3CTJ08,22,2017-05-12T07:42:00.000,32
13642.0,0,60404556,,All Other Parking Meter Violations,4.0,18,2017-06-06T04:02:00.000,100 LEXINGTON ST,POINT (-76.617356 39.291627),100 LEXINGTON ST,Baltimore,MD,,CHEVR,,,32,0,,,MD,A289407,18,2017-06-02T14:30:00.000,32
27935.0,0,60432649,,No Stop/Park Street Cleaning,2.0,18,2017-05-18T04:02:00.000,3200 ESTHER PL,POINT (-76.572501 39.294156),3200 ESTHER PL,Baltimore,MD,,FORD,,,52,0,,,MD,3CJ5330,27,2017-05-17T09:53:00.000,52
27301.0,0,60470672,,Expired Tags,7.0,17,2017-08-17T04:02:00.000,1715 PAYSON ST,POINT (-76.64979 39.30817),1715 PAYSON ST,Baltimore,MD,,KIA,,,32,0,,,MD,8233DA,22,2017-08-15T09:48:00.000,32
27954.0,0,60570091,1.0,Commercial Vehicle Obstruct/Imped Traffic Flow,1.0,18,2017-12-10T04:02:00.000,1700 THAMES ST,POINT (-76.592522 39.281847),1700 THAMES ST,Baltimore,MD,,FREIG,Fells Point,2017-06-20T20:00:00.000,252,121,,Southeastern,MD,10S169,42,2017-06-02T13:57:00.000,252
13645.0,0,60581916,,All Other Stopping or Parking Violations,1.0,19,2017-06-07T04:02:00.000,300 FRONT ST,POINT (-76.607206 39.292734),300 FRONT ST,Baltimore,MD,,NISSA,,,32,0,,,MD,9CT6402,99,2017-06-05T17:05:00.000,32
13987.0,0,98436513,,All Other Stopping or Parking Violations,7.0,17,2017-01-24T04:01:00.000,500 MONTFORD AVE,POINT (-76.5836 39.29699),500 MONTFORD AVE,Baltimore,MD,,MAZDA,,,32,0,,,MD,5BZ3816,99,2017-01-21T15:40:00.000,32
,0,60800191,,All Other Parking Meter Violations,9.0,17,2017-06-30T04:02:00.000,900 CHARLES ST,,900 CHARLES ST,Baltimore,MD,,BUICK,,,32,0,,,MD,5BP2961,18,2017-06-28T14:30:00.000,32
